m0,IC without masks,IC with masks,GRBT fatalities,Optimal* fatalities,Optimal fatalities,SRA1 fatalities,SRA2 fatalities
0.1,5.55E-17,-0.1131115591,0.001327913208,0.001320942426,0.001326073886,0.00134389465,0.001335780002
0.11,0,-0.1244224708,0.001275838821,0.001267681859,0.001273686972,0.001294496553,0.001285069358
0.12,1.11E-16,-0.1357333411,0.001225657754,0.001216275646,0.001223183222,0.001247074114,0.001236306627
0.13,-5.55E-17,-0.1470441708,0.00117732268,0.001166687467,0.001174518221,0.001201556967,0.001189433743
0.14,1.67E-16,-0.1583549607,0.001130786574,0.001118880822,0.001127647728,0.001157876594,0.001144393502
0.15,5.55E-17,-0.1696657115,0.00108600275,0.001072819053,0.001082527706,0.001115966316,0.001101129586
0.16,-5.55E-17,-0.1809764241,0.00104292489,0.001028465374,0.001039114357,0.001075761284,0.001059586588
0.17,0,-0.1922870991,0.001001507081,0.0009857828981,0.0009973641485,0.001037198463,0.001019710038
0.18,0,-0.2035977373,0.0009617038403,0.0009447346616,0.0009572338465,0.001000216615,0.000981446424
0.19,-2.22E-16,-0.2149083395,0.0009234701476,0.000905283651,0.0009186805407,0.0009647562812,0.0009447432066
0.2,0,-0.2262189065,0.0008867614706,0.000867392829,0.0008816616724,0.0009307597617,0.0009095488398
0.21,-1.11E-16,-0.237529439,0.0008515337914,0.0008310251583,0.00084613506,0.0008981710923,0.0008758127835
0.22,0,-0.2488399378,0.0008177436304,0.0007961436274,0.0008120589233,0.0008669360209,0.0008434855168
0.23,0,-0.2601504037,0.0007853480699,0.0007627112736,0.0007793919071,0.0008370019819,0.0008125185478
0.24,-2.22E-16,-0.2714608373,0.0007543047749,0.0007306912078,0.0007480931032,0.0008083180687,0.0007828644229
0.25,1.11E-16,-0.2827712395,0.0007245720137,0.0007000466369,0.0007181220712,0.0007808350063,0.0007544767336
0.26,-1.11E-16,-0.2940816111,0.0006961086765,0.0006707408869,0.0006894388589,0.0007545051218,0.0007273101215
0.27,1.11E-16,-0.3053919528,0.0006688742926,0.0006427374248,0.0006620040209,0.0007292823141,0.000701320282
0.28,2.22E-16,-0.3167022653,0.0006428290471,0.0006159998806,0.0006357786358,0.0007051220233,0.0006764639666
0.29,1.11E-16,-0.3280125495,0.0006179337949,0.0005904920686,0.0006107243238,0.0006819811988,0.0006526989829
0.3,-1.11E-16,-0.3393228061,0.0005941500749,0.0005661780074,0.0005868032612,0.0006598182673,0.0006299841943
0.31,0,-0.3506330358,0.0005714401222,0.0005430219409,0.0005639781959,0.0006385931001,0.0006082795171
0.32,2.22E-16,-0.3619432394,0.0005497668788,0.000520988357,0.0005422124601,0.0006182669799,0.0005875459178
0.33,0,-0.3732534178,0.0005290940041,0.0005000420077,0.0005214699833,0.0005988025674,0.0005677454077
0.34,1.11E-16,-0.3845635715,0.0005093858834,0.0004820336734,0.0005017153031,0.0005801638683,0.0005488410374
0.35,0,-0.3958737015,0.0004906076358,0.0004657174879,0.0004829135773,0.0005623161988,0.0005307968896
0.36,2.22E-16,-0.4071838085,0.0004727251205,0.0004500966739,0.0004650305916,0.0005452261526,0.0005135780714
0.37,0.006961169713,-0.4125718511,0.0004555781818,0.000435151046,0.0004480327697,0.0005288615668,0.0004971507055
0.38,0.05085630432,-0.3869649912,0.0004386321233,0.0004208606373,0.0004318871805,0.0005131914885,0.0004814819197
0.39,0.09619060786,-0.3605185779,0.0004225357447,0.0004072057051,0.0004165615452,0.0004981861412,0.0004665398371
0.4,0.1430360388,-0.3331906336,0.0004072601587,0.0003941667359,0.0004020242436,0.0004838168917,0.0004522935641
0.41,0.191469434,-0.3049363346,0.0003927768054,0.00038172445,0.000388244319,0.0004700562171,0.0004387131786
0.42,0.2415729298,-0.275707766,0.0003790574637,0.0003698598068,0.0003751914833,0.000456877672,0.000425769717
0.43,0.293434426,-0.2454536506,0.0003660742625,0.0003585540087,0.0003628361204,0.0004442558562,0.0004134351605
0.44,0.3471481012,-0.2141190483,0.0003537996909,0.0003477885062,0.0003511492889,0.0004321663829,0.0004016824217
0.45,0.4028149835,-0.1816450235,0.0003422066085,0.0003375450015,0.0003401027251,0.000420585847,0.0003904853295
0.46,0.4605435843,-0.1479682748,0.0003312682552,0.000327805453,0.0003296688447,0.0004094917941,0.0003798186143
0.47,0.5204506046,-0.1130207236,0.0003209582607,0.0003185520793,0.0003198207428,0.0003988626899,0.0003696578924
0.48,0.5826617226,-0.07672905446,0.0003112506536,0.0003097673625,0.0003105321949,0.0003886778899,0.0003599796506
0.49,0.6473124734,-0.03901420146,0.0003021198702,0.0003014340523,0.0003017776567,0.0003789176103,0.0003507612291
0.5,0.3572073536,3.73E-05,0.0003419928152,0.0002935527207,0.0002935537807,0.0003695628986,0.0003419928152
0.51,0.6750334875,-0.01118672811,0.0002899572303,0.0002899165945,0.000289936621,0.0003605956054,0.0003353616095
0.52,0.6373275599,-0.02195880519,0.0002864092013,0.0002863307903,0.0002863708558,0.0003519983562,0.0003289275324
0.53,0.6010446092,-0.03232427719,0.0002829101247,0.0002827950556,0.0002828553254,0.0003437545246,0.0003226849763
0.54,0.5661055878,-0.04230572647,0.0002794597531,0.0002793091372,0.0002793897463,0.0003358482053,0.0003166284684
0.55,0.5324371978,-0.05192409244,0.0002760578399,0.0002758727825,0.0002759738357,0.0003282641882,0.0003107526688
0.56,0.4999713774,-0.06119881818,0.0002727041392,0.0002724857392,0.0002726073115,0.000320987933,0.0003050523688
0.57,0.4686448419,-0.07014798166,0.0002693984055,0.0002691477556,0.0002692898925,0.0003140055443,0.0002995224891
0.58,0.4383986718,-0.07878841328,0.0002661403943,0.0002658585806,0.0002660212986,0.0003073037476,0.0002941580784
0.59,0.409177943,-0.08713580153,0.0002629298615,0.0002626179633,0.0002628012502,0.0003008698655,0.0002889543113
0.6,0.3809313939,-0.09520478807,0.0002597665639,0.0002594256536,0.0002596294687,0.0002946917952,0.0002839064865
0.61,0.3536111255,-0.1030090534,0.0002566502588,0.0002562814017,0.0002565056764,0.0002887579857,0.0002790100255
0.62,0.3271723301,-0.1105613941,0.0002535807043,0.0002531849585,0.0002534295967,0.0002830574168,0.0002742604703
0.63,0.3015730464,-0.1178737931,0.0002505576593,0.0002501360754,0.0002504009536,0.0002775795775,0.000269653482
0.64,0.2767739371,-0.124957483,0.000247580883,0.0002471345043,0.0002474194724,0.0002723144459,0.0002651848387
0.65,0.2527380873,-0.1318230031,0.0002446501359,0.0002441799974,0.0002444848789,0.0002672524696,0.0002608504338
0.66,0.2294308212,-0.1384802526,0.0002417651786,0.0002412723081,0.0002415969003,0.0002623845459,0.0002566462743
0.67,0.2068195355,-0.1449385371,0.0002389257729,0.0002384266728,0.0002387552645,0.0002577020039,0.0002525684788
0.68,0.184873547,-0.1512066126,0.000236131681,0.000235656141,0.0002359597006,0.0002531965862,0.0002486132759
0.69,0.163563954,-0.1572927248,0.0002333826661,0.0002329301151,0.0002332099386,0.0002488604317,0.0002447770021
0.7,0.1428635098,-0.1632046449,0.0002306784919,0.0002302483624,0.0002305057095,0.0002446860584,0.0002410561002
0.71,0.1227465062,-0.1689497026,0.000228018923,0.0002276106511,0.0002278467455,0.0002406663476,0.0002374471172
0.72,0.1031886675,-0.1745348161,0.0002254037246,0.0002250167502,0.0002252327796,0.0002367945279,0.0002339467028
0.73,0.08416705329,-0.1799665194,0.0002228326628,0.0002224664294,0.0002226635461,0.0002330641604,0.0002305516072
0.74,0.0656599691,-0.1852509877,0.0002203055042,0.0002199594595,0.0002201387803,0.0002294691238,0.0002272586795
0.75,0.04764688447,-0.1903940594,0.0002178220166,0.0002174956119,0.0002176582185,0.0002260036002,0.0002240648657
0.76,0.03010835784,-0.1954012577,0.0002153819681,0.0002150746589,0.0002152215983,0.0002226620619,0.000220967207
0.77,0.01302596764,-0.2002778087,0.0002129851279,0.0002126963736,0.0002128286583,0.0002194392583,0.0002179628378
0.78,-0.002946685564,-0.1600471932,0.0002150489838,0.0002103605302,0.0002104791381,0.0002163302031,0.0002150489838
0.79,-0.01580464957,-0.1657617572,0.0002122229605,0.0002080669034,0.0002081727788,0.000213330162,0.0002122229605
0.8,-0.02866261045,-0.1714763179,0.0002094821708,0.0002058152689,0.0002059093223,0.0002104346418,0.0002094821708