,m,ICphi,ICn,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
0,0.1,1.7430501486614958e-13,-0.14287268172894918,0.0017953304915486036,0.0018294866014381106,0.0018047076206649504,0.0017891875975
1,0.11,-7.287503933639528e-13,-0.15715983183598636,0.001713480256998444,0.001753194987888102,0.001724420461298906,0.0017063454562
2,0.12000000000000001,1.890820833239104e-12,-0.1714469618066341,0.0016349258986738543,0.0016803205984760863,0.001647472449526699,0.0016267854563
3,0.13,7.923661726749742e-13,-0.18573407197971736,0.0015595858623094505,0.0016107289145717016,0.0015737674264042507,0.0015504357644
4,0.14,8.738565426824607e-13,-0.20002116268469328,0.0014873777292026406,0.0015442887625422498,0.001503209338305539,0.0014772241709
5,0.15000000000000002,5.477840403500522e-13,-0.2143082342560143,0.0014182184052800252,0.0014808724086046061,0.0014357024279200601,0.0014070772387
6,0.16,5.828670879282072e-13,-0.22859528702632392,0.001352024304510768,0.0014203556335573824,0.0013711514144921669,0.0013399209419
7,0.17,-2.703171020357331e-12,-0.24288232133163223,0.0012887115262553157,0.0013626177888157829,0.0013094616632170803,0.0012756767853
8,0.18,6.41819930535803e-13,-0.257169337497654,0.0012281960261850912,0.0013075418351494868,0.001250539343768192,0.001214270812
9,0.19,-1.4231948952669882e-12,-0.27145633586668394,0.0011703937804594794,0.0012550143654930367,0.001194291577986196,0.0011556245783
10,0.2,2.338240712163042e-12,-0.2857433167635377,0.0011152209428905244,0.0012049256131604722,0.0011406265768128246,0.0010996634281
11,0.21000000000000002,-1.8389734179891093e-12,-0.3000302805316568,0.0010625939948785425,0.001157169446751914,0.0010894537665997273,0.0010462990272
12,0.22,2.94320123828129e-12,-0.3143172274917885,0.0010124298879406134,0.0011116433529909258,0.001040683904966936,0.00099546316462
13,0.23,-3.1656899324161714e-12,-0.3286041579916723,0.0009646461787061835,0.0010682484086787095,0.000994229186424615,0.00094707278587
14,0.24000000000000002,2.30593322214645e-12,-0.3428910723482135,0.0009191611562865964,0.001026889242895313,0.0009500033380070718,0.00090105802529
15,0.25,2.8326230250286244e-12,-0.3571779709065801,0.0008758939619769263,0.0009874739905201494,0.000907921705198839,0.00085734396018
16,0.26,9.323652960802065e-13,-0.3714648539980987,0.0008347647012741313,0.0009499142380847487,0.0008679013284594644,0.00081579052243
17,0.27,-1.2598810883446276e-12,-0.3857517219544333,0.0007956945482414258,0.0009141249629108082,0.0008298610106763909,0.00077653809581
18,0.28,-5.309086503757499e-13,-0.40003857510661534,0.0007586058422751496,0.0008800244664264805,0.0007937213758942616,0.00074068691785
19,0.29000000000000004,-9.381384558082573e-13,-0.4143254137906256,0.0007234221773632804,0.0008475343024943377,0.0007594049196842186,0.00070673360171
20,0.30000000000000004,-2.2379875730393906e-12,-0.42861223833944617,0.0006900684839509408,0.0008165792015258426,0.0007268360515286177,0.0006745798319
21,0.31,-6.59250432022418e-13,-0.44289904908392574,0.0006584711035544711,0.0007870869910998155,0.0006959411296051024,0.00064414466083
22,0.32,-4.929390229335695e-13,-0.4571858463599656,0.000628557856287089,0.0007589885137467579,0.0006666484883596057,0.00061534965821
23,0.33,-1.879829625295315e-12,-0.47147263050068355,0.0006002581014779737,0.0007322175425071068,0.0006388884592606065,0.00058811936592
24,0.33999999999999997,2.23265850252119e-12,-0.47885129848927255,0.000577337576766297,0.0007067106948198342,0.0006163642182018175,0.00056421272804
25,0.35,-1.8423040870629848e-12,-0.48376837032006215,0.0005572623731577304,0.000682407345248415,0.000596607730325118,0.00054237038892
26,0.36,1.176614361497741e-12,-0.4895664961762094,0.0005380237756825563,0.0006592495375041781,0.0005776494725595924,0.0005215907581
27,0.37,-2.2448709557920665e-13,-0.49606240972078863,0.0005195944263441692,0.0006371818961824543,0.0005594613900126577,0.00050182679636
28,0.38,1.5134560271690134e-12,-0.5031203764953929,0.0005019473925915728,0.0006161515385849288,0.00054201615634167,0.00048303430706
29,0.39,-1.0347278589506459e-13,-0.5106377224693635,0.0004850562057604983,0.0005961079869619618,0.0005252871692454837,0.00046516984364
30,0.4,1.5965007094109751e-12,-0.518535346236519,0.0004688948912962625,0.000577003081471652,0.0005092485451843145,0.00044819181406
31,0.41000000000000003,3.1039615322470127e-12,-0.5267513212885127,0.00045343799258028034,0.0005587908941177402,0.0004938751133770329,0.00043206007323
32,0.42000000000000004,-2.815525590449397e-12,-0.5352364746482299,0.00043866058969379147,0.0005414276438962971,0.000479142409123681,0.00041673631109
33,0.43000000000000005,-2.403410803708539e-12,-0.5439512644502289,0.000424538314113516,0.0005248716133512384,0.00046502666649968075,0.00040218319672
34,0.44000000000000006,0.0289564917128311,-0.5323017190498418,0.0004104674938748651,0.0005090830667111303,0.0004515048104667602,0.00038836556454
35,0.45000000000000007,0.0774096068179837,-0.507041091992734,0.0003966967206788596,0.000494024169754302,0.0004385544484442151,0.00037524916105
36,0.45999999999999996,0.1282381139740323,-0.48026405392354565,0.00038356854819871644,0.00047965891152595096,0.0004261538613826346,0.00036280169554
37,0.47,0.18153869751244933,-0.4519225420790409,0.0003710624313658709,0.0004659530280095313,0.0004142819943807537,0.00035221577872
38,0.48,0.23741868715056547,-0.42196158843075615,0.0003591580952409416,0.0004528739278352525,0.00040291844688457627,0.00034237016949
39,0.49,0.29599676787782725,-0.39031897647724145,0.0003478355413288705,0.000440390620090767,0.0003920434625064432,0.00033302052807
40,0.5,0.357240246454384,-0.35700255023727934,0.0003370874313818712,0.000428473644283114,0.0003816460257274682,0.00032416707159
41,0.51,0.33843927444653543,-0.34779231776333486,0.00033165429289409035,0.0004170950024864684,0.0003733390737187574,0.00031957372484
42,0.52,0.32199714744039976,-0.3373005943062086,0.00032634219422022045,0.00040622809369726773,0.0003653098975949948,0.00031497646064
43,0.53,0.3078827782886915,-0.3254974847102492,0.0003211493490074713,0.0003958476504066172,0.0003575498178086036,0.0003115349218
44,0.54,0.2960761244262802,-0.31234656644527714,0.0003160739853010468,0.00038592967738950486,0.000350050390331604,0.00030628081204
45,0.55,0.28656813742795695,-0.29780452939357627,0.00031111434561949177,0.00037645139270117245,0.0003428034028098009,0.00030244531575
46,0.56,0.2793608456804737,-0.2818207265213939,0.00030626868702706073,0.00036739117086285875,0.0003358008706909381,0.00029803741638
47,0.5700000000000001,0.274467574245739,-0.26433662595469576,0.00030153528120314174,0.0003587284882120442,0.00032903503333170684,0.0002940739783
48,0.58,0.27191330925279766,-0.24528515246349647,0.0002969124145087757,0.0003504438703861351,0.0003224983500882769,0.00029021057442
49,0.59,0.2717352177444843,-0.22458990340238483,0.00029239838805029874,0.00034251884190319705,0.00031618349639480264,0.00028701711721
50,0.6,0.27398333796871466,-0.20216422062771056,0.0002879915177401537,0.00033493587779877786,0.00031008335983415326,0.00028355829832
51,0.61,0.2787214598218246,-0.1779100956520403,0.00028369013435489924,0.00032767835727401607,0.0003041910362049078,0.00027918389188
52,0.62,0.28602822074141354,-0.15171688009771556,0.0002794925835904543,0.0003207305193070101,0.0002984998255884577,0.00027568508027
53,0.63,0.2959984490842986,-0.12345976710849849,0.0002753972261146193,0.0003140774201767988,0.0002930032284198637,0.00027295613826
54,0.64,0.30874479526446086,-0.09299800142720249,0.0002714024376169011,0.00030770489284720124,0.00028769494156593363,0.00026893463049
55,0.65,0.3243997011240678,-0.06017276589726617,0.0002675066088556852,0.00030159950815612893,0.00028256885441379446,0.00026567764844
56,0.66,0.3431177707688189,-0.02480467960249788,0.00026370814570279074,0.0002957485377547952,0.00027761904497306526,0.00026249617873
57,0.67,0.34741273079712576,-0.004356718346562705,0.0002602948502458317,0.0002901399187404163,0.0002731140445482282,0.00025948207668
58,0.6799999999999999,0.3192008990775106,-0.01689063710995109,0.00025750201134004176,0.00028476221992552504,0.0002692670358720655,0.00025677082924
59,0.69,0.2918066664724588,-0.029061389018376182,0.0002547526541868538,0.0002796046096868436,0.0002655260318019227,0.00025397195472
60,0.7,0.26519507581357127,-0.040884455571969625,0.0002520465119653449,0.00027465682533676087,0.0002618882405885881,0.00025128389221
61,0.71,0.2393331319717804,-0.052374453452277425,0.00024938331884749294,0.00026990914396077427,0.0002583509451138071,0.00024863973142
62,0.72,0.21418966863080202,-0.06354519155292548,0.00024676280999131976,0.0002653523546648062,0.0002549115017118514,0.0002460392471
63,0.73,0.18973522552004418,-0.0744097238134982,0.000244184721536886,0.00026097773217701804,0.00025156733898835937,0.00024348231235
64,0.74,0.16594193533198176,-0.08498039803921831,0.0002416487906042805,0.00025677701174960744,0.00024831595663692873,0.00024096852875
65,0.75,0.14278341958618013,-0.09526890091500739,0.0002391547552930314,0.00025274236530708637,0.0002451549242539169,0.00023849735463
66,0.76,0.12023469275836973,-0.10528629942201562,0.00023670235468253701,0.00024886637878864963,0.0002420818801518957,0.00023606866549
67,0.77,0.09827207406045924,-0.1150430788464174,0.00023429132883322584,0.00024514203063345606,0.00023909453017218184,0.00023368211864
68,0.78,0.07687310633303523,-0.12454917753811534,0.00023192141878825495,0.0002415626713589255,0.00023619064649684914,0.00023133720807
69,0.79,0.05601648159605199,-0.1338140185314165,0.000229592366575591,0.00023812200418351612,0.00023336806646061722,0.00022903378233
70,0.8,0.03568197289940489,-0.14284653807797287,0.00022730391521037368,0.00023481406664683203,0.00023062469136298015,0.00022677145724
